Index,Hogwarts House,First Name,Last Name,Birthday,Best Hand,Divination,Ancient Runes,History of Magic,Potions,Charms,Flying
24,Ravenclaw,Esther,Li,2001-08-02,Left,5.769,663.1575923,7.08960779,7.288428374,-228.83988,-6.4
25,Hufflepuff,Lucio,Wray,1999-01-21,Left,3.284,407.3199405,5.142065215,5.10915518,-244.66168,19.76
26,Slytherin,Araceli,Flint,1998-03-01,Left,-6.006,408.6279996,4.83789747,8.739039147,-253.04749,-91.44
27,Hufflepuff,Georgianna,Wooten,2000-01-18,Right,5.142,455.1147407,1.879997952,6.670688893,-245.14028,76.2
28,Gryffindor,Mimi,Baird,1997-05-22,Left,5.517,604.0963783,-4.955319632,4.377128702,-249.38786,173.06
29,Hufflepuff,Brandy,Andrus,2000-12-27,Right,5.794,327.3846269,8.575962196,4.055017084,-243.73112,-100.06
30,Hufflepuff,David,Mcclelland,2000-03-11,Left,6.881,387.235626,5.687413223,6.449913396,-244.6194,-36.54
31,Gryffindor,Kermit,Craft,2000-11-18,Left,5.754,618.4414086,-7.003952867,1.732236566,-252.33586,223.8
32,Ravenclaw,Carroll,Kersey,1999-10-20,Right,6.545,650.5954044,5.728551916,9.550556842,-229.64984,-35.06
33,Hufflepuff,Julie,Connolly,1998-05-29,Right,3.259,325.8143841,4.604073252,1.608783521,-246.1036,-48.86
34,Ravenclaw,Granville,Mulligan,2001-05-08,Right,,587.5367389,3.482794297,2.442912973,-230.82054,-38.07
35,Ravenclaw,Hannah,Canady,1998-11-06,Right,6.977,587.6228267,2.456652283,4.685132914,-231.20615,50.89
36,Hufflepuff,Lucien,Burt,1998-06-03,Right,5.141,379.0419596,2.76473901,1.575659247,-244.35366,30.91
37,Hufflepuff,Julia,Montez,2001-05-04,Right,6.617,456.3540636,4.847747055,5.760332596,-241.35887,15.52
38,Slytherin,Wendell,Ratcliff,1997-08-14,Right,-6.92,376.5402383,6.832455539,11.70829668,-251.37265,-125.38
39,Gryffindor,Angela,Han,1999-09-02,Right,5.825,599.5970453,-4.454714262,4.163735874,-251.84998,204.58
40,Gryffindor,Ben,Southard,2001-03-22,Left,5.422,603.4019171,-5.213071996,1.781741906,-252.49781,189.06
41,Hufflepuff,Orville,Hebert,1996-11-19,Right,6.614,482.0620581,4.616138358,7.088150791,-240.69411,70.68
42,Ravenclaw,Julianne,Forrest,1999-04-23,Left,3.217,573.218862,6.569018353,7.568807005,-230.27083,2.56
43,Hufflepuff,Rosanna,Rinaldi,1997-07-22,Right,2.268,350.3052741,,6.301946028,-245.25254,-64.69
44,Hufflepuff,Jerald,Woodworth,1998-12-17,Left,4.542,385.0149323,3.47150816,4.013484141,-245.0047,-1.25
45,Ravenclaw,Letha,Kim,2000-05-17,Right,6.916,667.2904112,7.920045613,9.549079996,-227.92076,-28.93
46,Ravenclaw,Laverne,Burrow,2000-11-04,Left,4.588,568.7877937,6.340340503,6.523428759,-233.10451,-38.71
47,Hufflepuff,Chelsey,Barney,1997-06-09,Right,5.139,354.732731,5.005440295,3.38950142,-245.05353,-38.96
48,Slytherin,Lorna,Graves,2000-03-28,Left,-6.945,403.7129115,1.720550177,7.637557962,-253.98429,-54.3
49,Gryffindor,Efren,Sotelo,2000-03-24,Left,5.537,592.0578085,-5.679532988,1.624174014,-253.20894,195.93
50,Gryffindor,Israel,Roach,1999-03-23,Right,4.066,586.5663669,-4.608931188,4.011938467,-253.0686,177.52
51,Slytherin,Gene,Southerland,1997-11-18,Right,-7.952,373.2900322,2.211948802,9.819557717,-253.02188,-63.61
52,Slytherin,Adelina,Bivins,1999-08-28,Right,-4.653,362.3463022,2.774750154,6.85598616,-247.19169,-40.26
53,Ravenclaw,Tabatha,Lu,2001-10-14,Right,6.267,640.9103294,,9.036945117,-229.72009,-37.21
54,Gryffindor,Rena,Conners,2000-01-03,Left,5.766,569.3116078,-6.499374126,0.8087147474,-252.47465,207.58
55,Slytherin,Sallie,Olivares,2001-05-08,Left,-3.055,462.1625941,7.084376679,11.60072861,-252.16026,-100.81
56,Hufflepuff,Kirby,Toscano,1998-11-20,Left,,488.0185114,3.69779483,8.275207028,-243.60572,65.23
57,Slytherin,Tammi,Dexter,1997-03-15,Right,-4.711,408.2826726,3.139227293,8.413704761,-250.70782,-50.1
58,Hufflepuff,Santo,Call,1999-11-09,Right,2.991,381.0545793,5.284483977,7.024570763,-245.8258,41.31
59,Gryffindor,Millicent,Corcoran,1997-10-07,Right,5.589,592.3206121,-3.230741401,4.820525643,-251.28892,150.33
60,Slytherin,Vincenzo,Seaton,1997-05-29,Right,-6.869,395.512967,3.507092054,9.408525512,-252.45353,-68.8
61,Ravenclaw,Patti,Montano,1998-03-24,Left,6.285,654.4987457,4.377432767,9.752553293,-228.81557,7.38
62,Hufflepuff,Bobby,Ezell,1997-07-18,Left,5.584,333.6560195,6.010138182,1.837101541,-244.47797,-79.62
63,Hufflepuff,Valentine,Benavidez,1996-12-13,Right,5.615,363.3569052,2.835332889,2.267171053,-244.06118,-57.35
64,Hufflepuff,Dollie,Gibson,1998-01-14,Right,5.698,411.3884031,3.572576309,2.748277771,-241.80063,15.35
65,Hufflepuff,Jessica,Tanner,1999-12-11,Left,6.843,385.0626125,6.401809033,4.420617725,-243.33105,-80.51
66,Hufflepuff,Bart,Burnside,2000-03-20,Right,5.813,465.4118266,5.286010067,9.165098169,-243.61837,-6.49
67,Ravenclaw,Sydney,Lamar,1996-12-19,Right,3.873,540.5395701,6.564960249,7.049922887,-229.90781,17.89
68,Gryffindor,Lesley,Conley,2000-02-08,Left,5.236,583.900979,-5.619651213,1.372322289,-253.30962,213.83
69,Hufflepuff,Tia,Shoemaker,2000-01-03,Right,3.763,366.743836,8.973601303,4.961227319,-243.94171,-47.23
70,Ravenclaw,Milo,Wicks,1997-05-10,Right,7.776,618.4120769,5.972014066,8.157173029,-230.66224,-34.52
71,Slytherin,Chauncey,Ambrose,1997-09-23,Right,-3.523,448.2469179,3.032471511,7.354243225,-248.22068,-13.85
72,Slytherin,Robbin,Cortez,1998-09-21,Right,-5.725,407.1401841,4.735857492,10.65707959,-249.20965,-39.65
73,Hufflepuff,Mellisa,Musgrove,1999-01-26,Left,3.148,402.543861,1.516808068,3.849727949,-246.20151,57.61
74,Ravenclaw,Alexander,Ashworth,1998-10-12,Left,7.718,624.0858951,5.781731646,9.071699292,-230.17997,-51.5
75,Hufflepuff,Jessie,Madden,2000-11-11,Left,4.794,411.0399019,6.10032133,4.221408674,-242.80759,-6.28
76,Ravenclaw,Marcos,Pfeifer,2000-11-15,Left,5.269,636.650927,4.514082718,5.990332244,-228.8198,-9.2
77,Ravenclaw,Bess,Browne,2001-08-14,Right,6.658,645.2472652,4.797739921,8.733861638,-230.3282,32.77
78,Hufflepuff,Marilynn,Maki,2001-01-06,Left,4.612,417.255631,4.857709461,5.724471407,-245.9729,-54.51
79,Hufflepuff,Seth,Conaway,1999-09-18,Right,5.468,459.2100177,5.05425349,6.789389506,-245.05387,-28.36
80,Hufflepuff,Concepcion,Wilkinson,1999-06-19,Left,4.681,405.7418984,6.156093737,6.482312107,-244.82078,-26.57
81,Slytherin,Antonette,Falcon,1999-08-01,Right,-3.253,351.0599635,9.85368742,13.48141807,-244.30023,-125.24
82,Slytherin,Arnold,Kersey,1998-06-12,Right,-7.491,370.4816797,,12.16132141,-252.12602,-82.61
83,Gryffindor,Rosita,Riddick,2001-09-27,Right,5.402,634.1718918,-4.248889474,4.92850663,-250.44466,168.2
84,Hufflepuff,German,Bronson,2000-06-22,Right,6.445,380.2449784,4.889160429,4.859939346,-244.21177,-39.78
85,Hufflepuff,Hallie,Slade,2001-04-10,Left,6.27,453.912325,,6.340714687,-242.60241,-11.22
86,Hufflepuff,Rufus,Geiger,2000-06-29,Right,4.824,437.2001972,3.895704955,5.904646144,-243.93181,78.72
87,Hufflepuff,Shanna,Reuter,2000-02-06,Left,4.977,428.3497142,7.111135198,9.235553492,-244.50673,35.69
88,Hufflepuff,Marion,Galindo,2000-02-23,Left,3.749,386.4191262,4.249600814,2.51042454,-245.17349,17.14
89,Gryffindor,Aisha,Steffen,2000-02-08,Right,5.25,659.3533551,-7.392166051,2.142782575,-250.64727,212.01
90,Gryffindor,Tabatha,Bartlett,2000-02-13,Right,5.213,598.2177025,-5.722742649,1.439681935,-253.36058,213.28
91,Gryffindor,Oma,Prosser,1998-07-26,Left,6.883,636.079572,-4.939479676,2.983814187,-247.82592,147.71
92,Ravenclaw,Florine,Crabtree,1999-04-04,Left,5.861,593.0667059,5.746750568,7.496068442,-229.55943,18.77
93,Hufflepuff,Glenna,Rodman,2000-02-07,Right,,408.3312719,2.62598215,-0.2461026446,-244.86997,-57.61
94,Hufflepuff,Sarah,Mccurdy,2000-05-24,Right,5.725,392.295968,3.347156751,1.828640017,-241.87543,32.42
95,Hufflepuff,Vesta,Rodman,2000-02-19,Left,5.415,298.2189599,3.644398788,1.228918753,-246.92665,-22.77
96,Gryffindor,Gabriella,Snook,1999-04-05,Left,5.923,615.0863313,-5.482980609,4.16083242,-251.26696,220.38
97,Ravenclaw,Billie,Irvine,1998-03-23,Left,5.464,609.1149084,5.03551055,8.220708584,-230.70509,-19.33
98,Slytherin,Allison,Ketchum,1998-07-20,Right,-3.542,374.4225167,6.04329673,9.448966565,-246.52071,-83.43
99,Hufflepuff,Dovie,Darden,1997-10-09,Right,4.108,379.1414664,3.675069463,1.925048273,-245.50725,-32.85
100,Gryffindor,Dianne,Gulley,1997-08-06,Left,5.321,621.4829544,-4.585395797,6.46725617,-250.98496,209.29
101,Hufflepuff,Robbie,Waller,2000-06-10,Left,4.667,384.6225825,4.525148311,4.608998704,-243.71814,32.63
102,Ravenclaw,Mariah,Allison,1999-09-08,Left,4.203,628.4171763,3.603504962,4.725093354,-231.65535,-8.22
103,Hufflepuff,Eunice,Kimball,1997-09-14,Right,6.89,386.2274602,6.335260446,4.540173865,-243.6346,-50.5
104,Ravenclaw,Jermaine,Hilton,2000-06-17,Right,6.811,635.974144,7.627175739,9.270981683,-228.81269,-9.05
105,Gryffindor,Darius,Pond,1999-06-09,Right,3.594,593.3684428,-2.623107734,5.49626431,-253.83873,147.31
106,Slytherin,Wilma,Marroquin,1998-12-29,Right,-5.441,372.0458319,7.031750275,9.484187397,-251.70157,-134.02
107,Gryffindor,Sylvester,Smallwood,1997-03-14,Right,4.563,573.5525538,-4.505731042,-0.07876881186,-252.0244,109
108,Hufflepuff,Archie,Richardson,1999-11-07,Left,3.957,438.3153867,4.935839154,6.812913993,-244.95264,-4.13
109,Slytherin,Caryn,Irvine,1999-07-11,Left,-6.991,424.1737104,5.355311937,11.96095073,-255.36437,-111.75
110,Slytherin,Octavia,Hamby,1997-08-04,Right,-7.214,350.1109817,1.39073247,7.717584207,-252.34285,-73.57
111,Ravenclaw,Elmo,Samuel,1997-10-09,Right,4.982,623.5655707,6.364252991,6.424160493,-230.46179,-107.59
112,Ravenclaw,Theresa,Bird,1998-10-13,Right,4.078,,2.854086626,1.364061916,-231.57692,18.2
113,Ravenclaw,Lynda,Peace,2000-09-16,Left,4.947,606.4891068,1.422844118,2.352839966,-232.47674,22.38
114,Ravenclaw,Curt,Sorrell,1998-08-21,Right,4.954,635.2443532,3.262407828,2.172862688,-232.6804,-62.53
115,Gryffindor,Sharyn,Oconnell,1998-12-20,Right,5.432,565.6424557,-5.264616268,3.216332196,-252.34838,200.17
116,Ravenclaw,Roman,Stamps,1998-06-25,Right,3.335,571.3624087,3.12488898,3.825085878,-231.97034,23.05
117,Slytherin,Sheri,Tuttle,1997-05-11,Right,-6.945,335.2345645,4.204773786,8.735903219,-253.98085,-128.79
118,Hufflepuff,Sharonda,Hansen,2001-04-25,Left,5.747,414.2573961,7.048594642,8.599684068,-244.29127,8.27
119,Hufflepuff,Rudy,Sigler,1996-12-13,Left,8.131,395.7218485,5.086696892,4.274639627,-242.27829,-47.35
120,Ravenclaw,Ruthie,Hennessey,1999-10-02,Left,5.044,690.8804539,4.221924953,8.997370378,-230.0022,24.51
121,Slytherin,Antone,Medina,1997-12-21,Left,-5.068,406.1838176,5.88495193,12.95291085,-249.85396,-75.77
122,Ravenclaw,Jean,Herron,1998-05-10,Right,4.869,527.9337938,4.459569723,4.75242212,-230.4195,12.92
123,Hufflepuff,Eileen,Santoro,1998-11-14,Right,4.953,419.541037,2.54608967,2.629177018,-244.26175,-60.98
124,Hufflepuff,Jonathan,Kingsbury,2000-06-06,Right,,336.5061458,8.121613196,3.744288425,-246.37242,-45.07
125,Slytherin,Brooks,Bettencourt,1999-09-26,Left,-5.764,374.5229979,4.32693329,9.142679119,-250.42092,-68.14
126,Hufflepuff,Amanda,Anaya,1999-08-18,Right,3.715,480.1360533,4.281443156,6.48604048,-242.9028,55.66
127,Slytherin,Russ,Blais,1997-09-04,Right,-5.577,399.763608,3.875200414,9.339369229,-250.01667,-61.42
128,Slytherin,Wilbur,Burnside,1999-05-24,Right,,398.4999005,5.528243231,9.617422309,-247.73032,-83.27
129,Hufflepuff,Valarie,Valentin,1997-09-27,Left,3.919,319.1080196,2.827435252,-0.6851878477,-245.78322,18.2
130,Slytherin,Oma,Whitlow,2000-04-29,Left,-4.61,456.6359238,3.968856653,10.27664864,-249.67188,-28.32
131,Gryffindor,Nelson,Doolittle,1998-11-25,Left,4.299,532.3484939,-3.530175676,1.612696796,-253.98387,153.59
132,Slytherin,Angeline,Trice,2000-04-02,Right,-5.834,358.9044106,9.494249075,11.61728541,-252.13077,-180.37
133,Hufflepuff,Luanne,Frasier,2000-10-31,Right,4.831,302.8929088,7.596506958,1.33933358,-244.50439,-119.59
134,Ravenclaw,Felton,Staley,1996-12-02,Left,5.142,582.3591354,4.977302986,9.099150586,-230.60911,47.33
135,Ravenclaw,Lloyd,Blair,1997-05-13,Right,6.28,615.1309059,3.38968267,3.699480697,-231.8865,-25.3
136,Ravenclaw,Reginald,Jordan,1999-06-10,Left,4.815,627.6004488,4.108174932,4.374231618,-231.32397,-8.05
137,Ravenclaw,Loraine,Cornell,1999-03-03,Right,4.552,579.7480744,5.6230902,5.43783628,-231.86231,-55.94
138,Hufflepuff,Ahmed,Nixon,1997-07-29,Left,6.182,423.3265829,2.790275051,4.208607987,-242.6917,22.29
139,Gryffindor,Rashad,Massie,1997-06-29,Left,7.783,597.7039642,-7.018531981,-1.149510825,-252.15187,219.3
140,Gryffindor,Dave,Naquin,1997-11-27,Right,4.547,629.2369726,-5.375846468,2.279460628,-252.95257,196.74
141,Ravenclaw,Ron,Hein,2000-12-12,Right,4.101,612.3042514,4.617962265,6.934762561,-230.56534,21.25
142,Gryffindor,Dick,Enos,2001-03-18,Left,3.981,622.3857795,-4.622835308,5.351641917,-253.08888,196.78
143,Hufflepuff,Lawerence,Sorensen,1999-09-25,Left,4.397,425.2180273,5.322114769,4.422417285,-243.78056,-13.04
144,Gryffindor,Billy,Le,1997-01-30,Left,4.66,596.5998144,-3.767260728,6.477809371,-252.61465,217.25
145,Gryffindor,Nilda,Brogan,1997-04-16,Right,7.359,,-4.174355875,1.126887297,-250.10574,147.89
146,Slytherin,Esteban,Milne,2001-07-12,Left,-5.214,375.7280853,6.407741514,10.62311509,-249.61248,-97.27
147,Gryffindor,Wilford,Stewart,2001-05-02,Right,6.509,627.3851026,-4.99057811,4.661388684,-248.8942,201.19
148,Gryffindor,Scarlett,Reyes,2001-11-01,Right,5.301,565.3682292,-5.787645868,-0.1815098639,-252.18504,183.15
149,Gryffindor,Van,Bearden,1997-12-15,Left,5.396,598.589927,-6.100922865,1.744547642,-254.7511,237.12
150,Ravenclaw,Bryon,Small,1997-03-21,Left,4.716,595.489738,4.793714289,8.063913863,-231.4406,7.21
151,Gryffindor,Dan,Whitt,2001-10-28,Left,5.337,614.7657966,-4.734302228,5.143056634,-252.364,208.29
152,Gryffindor,Jeff,Ernst,1998-02-23,Left,8.042,536.7796446,-6.27204819,-1.404883713,-252.1266,221.15
153,Slytherin,Sammie,Zimmerman,2001-09-30,Right,-3.555,415.617033,6.743407605,10.35371258,-248.00827,-74.44
154,Slytherin,Renaldo,Cushing,1997-05-13,Left,-6.691,323.4515005,5.323453249,11.09316353,-250.79363,-110.75
155,Hufflepuff,Saundra,Low,1999-09-12,Right,3.586,322.2216554,4.887882934,1.300073924,-245.92806,-57.46
156,Gryffindor,Alberto,Michaels,1999-09-30,Left,6.503,608.6887586,-5.3765203,4.579109238,-250.98261,215.49
157,Hufflepuff,Lauren,Provost,1997-01-21,Right,7.217,413.3955338,7.761771415,6.384901266,-241.89849,-43.13
158,Ravenclaw,Kristal,Woodley,2000-02-25,Left,5.863,591.0972901,5.231018576,,-228.86285,-20.67
159,Ravenclaw,Mickey,Bratcher,2001-04-25,Right,5.7,646.8372346,4.221800721,6.454052705,-229.88521,-29.56
160,Hufflepuff,Carmel,Olivares,1997-10-25,Left,7.775,444.9434955,4.443756765,6.181211732,-243.31048,-17.02
161,Hufflepuff,Fletcher,Wingfield,1997-01-28,Right,3.73,348.3567245,7.324278748,3.61572783,-244.14334,-87.64
162,Hufflepuff,Omer,Carrera,2001-10-13,Left,5.501,405.4928998,9.98695849,8.847001568,-241.08842,-56.51
163,Slytherin,Lucio,Negron,1999-01-08,Left,-4.98,437.7989846,5.022475789,6.517021696,-250.63658,-69.99
164,Ravenclaw,Patrick,Cox,1999-10-04,Left,5.271,555.1066963,4.985539976,3.471946064,-232.47976,19.37
165,Hufflepuff,Chong,Woodard,2000-03-20,Right,4.846,380.1346585,3.539894129,3.41481135,-245.30497,27.31
166,Hufflepuff,Nan,Hurley,1999-04-20,Left,4.189,426.9497528,2.327245194,3.416829152,-243.45278,38.9
167,Hufflepuff,Jonah,Rosa,1997-04-07,Right,7.328,394.2019539,7.635448726,7.402755763,-243.53251,-85.17
168,Slytherin,Ervin,Shelley,1998-08-03,Left,-5.219,,4.305958058,6.548906544,-255.2995,-95.88
169,Gryffindor,Jayson,Somerville,2001-06-23,Left,7.05,606.9511449,-4.982394923,4.793895004,-248.28095,177.61
170,Ravenclaw,Laura,Everett,2000-03-12,Right,5.832,615.9485448,4.417154626,8.828469084,-230.17467,5.66
171,Gryffindor,Roy,Delossantos,2000-08-28,Left,4.271,630.2490137,-4.399362687,5.198774861,-252.56696,186.08
172,Gryffindor,Clinton,Hemphill,2000-01-13,Right,7.004,648.8820637,-1.832112857,7.323180071,-246.82635,137.9
173,Ravenclaw,Eldon,Hutson,2000-11-22,Right,4.951,586.5497459,5.762430794,8.168992186,-228.98087,-8.41
174,Hufflepuff,Carmen,Champion,2000-11-07,Left,5.97,394.0675281,3.659346405,3.857594473,-246.10102,-34.57
175,Gryffindor,Maggie,Damron,1998-06-02,Right,5.802,572.8403769,-5.275262068,0.6397256335,-252.9695,163.15
176,Ravenclaw,Dovie,Saul,2000-08-27,Right,,568.3490492,4.999267236,7.83029631,-231.69042,10.56
177,Hufflepuff,Raymundo,Cooksey,1999-04-16,Right,6.4,377.1870269,5.981996899,3.10414798,-242.47435,-44.31
178,Ravenclaw,Marty,Herrin,2000-06-20,Right,5.16,639.3262585,5.39317219,8.073240797,-232.18652,12.05
179,Ravenclaw,Rose,Torres,1997-12-16,Right,5.138,585.108082,4.63479564,4.742602441,-230.03135,4.41
180,Slytherin,Teddy,Dodds,1999-12-19,Right,-5.758,441.7305584,2.557396157,4.930318674,-255.09825,-54.34
181,Hufflepuff,Augusta,Blanchard,2001-09-13,Right,2.858,378.1014187,1.353013826,3.287227926,-247.34739,61.58
182,Ravenclaw,Aretha,Trice,1996-11-08,Left,6.583,608.3003162,5.122940006,4.4849104,-233.16651,-32.36
183,Slytherin,Eloy,Connell,2001-04-18,Right,-4.772,459.2921794,3.022432983,6.084684379,-251.42808,-41.08
184,Ravenclaw,Lorenzo,Bundy,1999-11-23,Left,-7.125,387.8361322,6.029867033,8.248788658,-255.96693,-120.43
185,Hufflepuff,Valentina,Gibson,1997-04-26,Left,4.136,387.6817806,1.630929819,1.685773477,-245.93674,26.64
186,Hufflepuff,Ali,Battles,1999-06-25,Left,5.311,386.8046962,7.224753476,5.094625543,-243.82131,-17.54
187,Slytherin,Stacey,Wu,1997-10-08,Left,-3.002,412.1522665,4.599610821,10.58299606,-246.34111,-38.68
188,Hufflepuff,Daron,Kitchens,1999-02-28,Left,6.538,411.1502891,3.537105279,3.01943259,-242.48361,9.71
189,Gryffindor,Marcia,Doe,2000-07-24,Left,5.143,,-3.914790332,3.878477799,-252.38478,159.3
190,Slytherin,Johnathon,Odom,1997-08-20,Left,-4.77,449.8763055,6.679820256,12.12823675,-252.31929,-78.63
191,Hufflepuff,Geoffrey,Joyce,1998-04-09,Left,5.646,394.6245135,4.240603842,4.38281466,-245.40838,-30.11
192,Ravenclaw,Charlotte,Evans,2000-11-29,Left,5.723,625.688886,6.102624426,8.312158787,-229.29056,-41.14
193,Hufflepuff,Winnie,Wentworth,2001-04-04,Left,5.585,376.8050967,8.914703349,8.941348504,-242.00694,-16.34
194,Slytherin,Vickie,Candelaria,1997-10-02,Right,-3.759,352.8512559,6.764206366,10.83414901,-245.94679,-102.6
195,Hufflepuff,Fern,Cummings,1999-06-06,Right,4.961,430.1812892,3.550969342,5.842755458,-245.16055,53.66
196,Hufflepuff,Julianna,Doran,2000-08-01,Right,2.796,323.6682538,1.160614623,-1.091479498,-247.42257,75.19
197,Ravenclaw,Velma,Coles,1998-10-16,Right,5.475,627.5167873,5.064972375,7.129772149,-230.28325,-30.58
198,Gryffindor,Shayne,Slayton,1999-09-23,Right,2.975,544.6111192,-6.036172919,0.282419967,-256.0132,191.7
199,Slytherin,Lacy,Mcgowan,1998-01-15,Right,-4.936,430.2352909,4.523608768,11.38926629,-245.75565,-2.64
200,Ravenclaw,Janelle,Salazar,2001-09-03,Right,3.999,391.1234753,3.363899266,3.65244166,-244.60007,42.74
201,Gryffindor,Marty,Canady,1996-11-18,Right,1.946,578.097812,-4.665631814,2.972234417,-257.38018,180.57
202,Ravenclaw,Alisha,Avila,2000-05-09,Right,4.199,539.9321259,6.204762958,8.530926302,-228.75693,17.42
203,Ravenclaw,Patty,Prince,1999-06-12,Left,5.629,595.3515165,5.634878401,5.813837055,-229.58248,-14.56
204,Gryffindor,Angie,Ladner,2001-06-01,Right,3.961,587.7793489,-6.026760205,2.543550608,-255.75059,240.63
205,Hufflepuff,Renato,Sneed,2000-07-10,Right,4.855,435.0270047,4.960435925,6.907009359,-244.06226,5.59
206,Gryffindor,Jung,Kim,1999-07-04,Left,6.805,613.9374881,-5.54440114,1.270640654,-250.69972,218.32
207,Hufflepuff,Marjorie,Boyer,2001-10-24,Right,6.746,390.1114849,5.619490844,5.953459633,-243.58725,5.54
208,Hufflepuff,Miles,Aguayo,1999-01-21,Left,4.927,378.8926307,5.444122212,4.111309148,-244.82743,-37.96
209,Ravenclaw,Jonas,Rauch,2000-05-19,Right,3.733,538.4505793,4.378175539,5.93829682,-230.54234,-4.47
210,Hufflepuff,Neville,Barrow,2001-08-01,Right,4.335,441.8065266,5.825241656,7.670625666,-243.10293,-8.52
211,Gryffindor,Charmaine,Renfro,1999-03-10,Right,2.596,536.6330151,-4.656877783,1.697396234,-258.97753,201.43
212,Slytherin,Chantal,Goldman,1997-03-09,Right,-2.695,412.4762373,5.486221254,9.932906851,-241.55524,-11.34
213,Slytherin,Steve,Vick,1999-09-05,Right,-4.576,403.440118,6.7105153,11.66752652,-251.47774,-126.76
214,Ravenclaw,Wilfred,Giordano,1999-06-02,Left,4.721,591.3579303,4.912170248,8.485303622,-229.33393,8.3
215,Hufflepuff,Tom,Haskins,1999-12-07,Right,2.993,452.7325287,3.862708781,3.882496535,-243.5927,22.71
216,Gryffindor,Lindy,Gracia,1998-01-14,Right,1.444,576.4978364,-1.921778585,7.404223397,-258.6056,188.6
217,Ravenclaw,Trista,Gantt,2001-10-21,Left,6.265,670.4428896,4.034883258,8.380733515,-229.56059,-9.89
218,Gryffindor,Jung,Layman,2001-04-20,Right,3.42,604.2878171,-6.146592154,1.232929185,-257.05137,205.67
219,Gryffindor,Amelia,Sharp,2000-12-24,Left,4.624,551.1395096,-3.736088586,3.248893952,-255.1041,198.41
220,Hufflepuff,Shanon,Warfield,1999-09-11,Right,3.067,363.1465862,0.2985778802,-1.415213807,-246.70308,49.97
221,Hufflepuff,Natalia,Newberry,1997-02-11,Right,5.873,385.4910583,3.990878656,2.499099344,-245.23676,-22.16
222,Gryffindor,Jessie,Erwin,1999-10-08,Right,4.223,547.3632663,-3.15007691,2.705375659,-253.59114,152.69
223,Slytherin,Dudley,Cleary,2001-02-18,Right,-4.283,412.7205785,4.903436239,,-244.6205,-20.32
224,Gryffindor,Leilani,Stamps,1997-08-06,Left,6.2,615.8067681,-3.302085428,4.698396542,-249.43561,171.32
