Index,Hogwarts House,First Name,Last Name,Birthday,Best Hand,Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Muggle Studies,Transfiguration,Care of Magical Creatures
23,Hufflepuff,Rosie,Tuggle,1999-07-05,Left,44987,673.1671097,0.1315163055,-6.731671097,-709.6964284,1073.585204,1.747769755
24,Ravenclaw,Esther,Li,2001-08-02,Left,79537,-511.2264384,7.963183549,5.112264384,419.755599,1035.424804,0.2360522785
25,Hufflepuff,Lucio,Wray,1999-01-21,Left,46505,508.1611884,6.113144062,-5.081611884,-387.5559813,1037.080433,1.330036208
26,Slytherin,Araceli,Flint,1998-03-01,Left,66246,-419.0220852,-6.655229618,4.190220852,-322.0198692,1039.943499,0.02279224327
27,Hufflepuff,Georgianna,Wooten,2000-01-18,Right,32991,612.5930324,4.166334754,-6.125930324,-528.8095275,1047.788827,0.6046173162
28,Gryffindor,Mimi,Baird,1997-05-22,Left,40401,236.888879,-5.077751005,-2.36888879,-544.7589089,977.8967781,-1.5510452
29,Hufflepuff,Brandy,Andrus,2000-12-27,Right,48832,458.3420379,3.331786029,-4.583420379,-357.1443809,1051.344828,0.2177364837
30,Hufflepuff,David,Mcclelland,2000-03-11,Left,48984,600.08135,3.464527019,-6.0008135,-678.523644,1069.242718,1.951817295
31,Gryffindor,Kermit,Craft,2000-11-18,Left,58112,514.3419373,-2.832054657,-5.143419373,-685.1710296,957.0911377,0.3585953073
32,Ravenclaw,Carroll,Kersey,1999-10-20,Right,56259,-301.4833725,4.470596382,3.014833725,887.0278524,1075.093829,-1.197556381
33,Hufflepuff,Julie,Connolly,1998-05-29,Right,54477,413.574984,4.907536817,-4.13574984,-363.0965932,1052.105227,0.4543663776
34,Ravenclaw,Granville,Mulligan,2001-05-08,Right,71169,-766.519901,4.985467109,7.66519901,670.6124148,1042.598337,
35,Ravenclaw,Hannah,Canady,1998-11-06,Right,44450,-279.0010919,7.198095104,2.790010919,251.7144466,1046.835522,0.007051239074
36,Hufflepuff,Lucien,Burt,1998-06-03,Right,43212,569.2137823,6.73867211,-5.692137823,-383.9528599,1038.429801,1.642205832
37,Hufflepuff,Julia,Montez,2001-05-04,Right,59927,384.37314,6.690899582,-3.8437314,-715.2215548,1053.715224,1.095952466
38,Slytherin,Wendell,Ratcliff,1997-08-14,Right,40775,-619.3515715,-8.887563696,6.193515715,-267.6221656,1056.157417,-0.04777414683
39,Gryffindor,Angela,Han,1999-09-02,Right,36947,595.0935168,-4.539962626,-5.950935168,-526.9928942,,0.4720483839
40,Gryffindor,Ben,Southard,2001-03-22,Left,52334,494.0836958,-4.853242384,-4.940836958,-413.7826215,944.0464657,-1.416966999
41,Hufflepuff,Orville,Hebert,1996-11-19,Right,29293,486.4150306,5.475306513,-4.864150306,-438.3439789,1029.825012,-1.890664786
42,Ravenclaw,Julianne,Forrest,1999-04-23,Left,41965,-591.8785797,6.603584822,5.918785797,388.5550801,1042.536254,-0.7100093958
43,Hufflepuff,Rosanna,Rinaldi,1997-07-22,Right,44741,432.5608992,3.852908047,-4.325608992,-275.7517475,1041.560878,0.7430643744
44,Hufflepuff,Jerald,Woodworth,1998-12-17,Left,51536,440.0873112,5.172275862,-4.400873112,-601.1879804,1059.512002,-0.1440408428
45,Ravenclaw,Letha,Kim,2000-05-17,Right,73385,-415.0263289,7.254609477,4.150263289,489.1024504,1058.228763,-1.659350378
46,Ravenclaw,Laverne,Burrow,2000-11-04,Left,59112,-390.7121666,4.372105012,3.907121666,473.1527273,1044.900158,1.146690947
47,Hufflepuff,Chelsey,Barney,1997-06-09,Right,52190,496.1748496,4.660387161,-4.961748496,-507.7965671,1057.452799,1.058842758
48,Slytherin,Lorna,Graves,2000-03-28,Left,68570,-387.7448325,-4.60461997,3.877448325,-419.1642937,1058.58048,-0.4045276628
49,Gryffindor,Efren,Sotelo,2000-03-24,Left,53157,642.0668079,-3.73158339,-6.420668079,-430.8413869,952.4800067,-2.002450887
50,Gryffindor,Israel,Roach,1999-03-23,Right,42836,420.6281623,-5.996391408,-4.206281623,-490.6709728,958.5203483,-0.6921841218
51,Slytherin,Gene,Southerland,1997-11-18,Right,47880,-508.0961662,-5.315117306,5.080961662,-460.6697459,1080.114992,-1.211104572
52,Slytherin,Adelina,Bivins,1999-08-28,Right,40993,-659.0745091,-1.38978157,6.590745091,-707.6370173,1066.574423,1.228171833
53,Ravenclaw,Tabatha,Lu,2001-10-14,Right,65458,-518.0808292,4.401277678,5.180808292,412.6771038,1045.854887,-0.05860393006
54,Gryffindor,Rena,Conners,2000-01-03,Left,44262,442.5297808,-4.159918829,-4.425297808,-725.1181562,951.287328,0.4131136082
55,Slytherin,Sallie,Olivares,2001-05-08,Left,68337,-240.5808381,-8.466872317,2.405808381,-362.5056034,1031.403583,-0.6062699978
56,Hufflepuff,Kirby,Toscano,1998-11-20,Left,37503,655.7822947,4.013761055,-6.557822947,-565.2083931,1044.334428,0.5963720283
57,Slytherin,Tammi,Dexter,1997-03-15,Right,54555,-400.7418937,-4.149147758,4.007418937,-479.5199236,1055.261603,-0.432314028
58,Hufflepuff,Santo,Call,1999-11-09,Right,18882,679.9441149,4.749802946,-6.799441149,-361.6947071,1038.241566,-1.332439437
59,Gryffindor,Millicent,Corcoran,1997-10-07,Right,45361,579.2673014,-4.812674686,-5.792673014,-286.9382451,974.1081658,0.6020479497
60,Slytherin,Vincenzo,Seaton,1997-05-29,Right,51703,-461.4093395,-5.887282774,4.614093395,-334.1827271,1057.480476,-1.107892825
61,Ravenclaw,Patti,Montano,1998-03-24,Left,44262,-352.500131,5.501649628,3.52500131,757.7755427,1077.107598,1.539881901
62,Hufflepuff,Bobby,Ezell,1997-07-18,Left,62083,432.2355312,4.760955687,-4.322355312,-443.2561434,1056.628084,0.5029246073
63,Hufflepuff,Valentine,Benavidez,1996-12-13,Right,70512,191.662007,4.71218732,-1.91662007,-810.1462516,1084.665092,-0.5614439161
64,Hufflepuff,Dollie,Gibson,1998-01-14,Right,55840,326.2217198,7.407129158,-3.262217198,-603.391893,,-1.100876979
65,Hufflepuff,Jessica,Tanner,1999-12-11,Left,73353,376.5853559,4.537302115,-3.765853559,-705.9976763,1071.026218,0.8373674019
66,Hufflepuff,Bart,Burnside,2000-03-20,Right,64219,405.5757288,4.347895747,-4.055757288,-897.837096,1075.488164,0.1941036295
67,Ravenclaw,Sydney,Lamar,1996-12-19,Right,30461,-608.1609661,7.030299546,6.081609661,110.636573,1038.714585,0.4109491944
68,Gryffindor,Lesley,Conley,2000-02-08,Left,39225,546.1048516,-5.177676827,-5.461048516,-478.2053839,932.1547541,1.173693391
69,Hufflepuff,Tia,Shoemaker,2000-01-03,Right,58659,558.9850769,7.199280557,-5.589850769,-384.8401714,1037.306719,1.333356752
70,Ravenclaw,Milo,Wicks,1997-05-10,Right,,-189.2700326,4.706115141,1.892700326,636.4578368,1065.549153,1.357852872
71,Slytherin,Chauncey,Ambrose,1997-09-23,Right,56313,-463.6502501,-2.457738111,4.636502501,-497.6966702,1033.512426,-0.3170546276
72,Slytherin,Robbin,Cortez,1998-09-21,Right,37901,-508.0190338,-4.079018873,5.080190338,,1052.071559,0.3930427748
73,Hufflepuff,Mellisa,Musgrove,1999-01-26,Left,46240,530.2273192,6.551776365,-5.302273192,-576.4826954,1051.978018,0.4555014066
74,Ravenclaw,Alexander,Ashworth,1998-10-12,Left,54847,-203.9673776,3.998021154,2.039673776,806.6814136,1082.067253,0.01289788842
75,Hufflepuff,Jessie,Madden,2000-11-11,Left,54986,440.8438262,6.506027506,-4.408438262,-392.9760395,1036.159534,-1.153587577
76,Ravenclaw,Marcos,Pfeifer,2000-11-15,Left,69442,-557.4308145,7.632078696,5.574308145,638.1494093,1059.421508,0.1350349867
77,Ravenclaw,Bess,Browne,2001-08-14,Right,46350,-298.2622718,5.544376739,2.982622718,432.3369006,1048.19086,0.1450460961
78,Hufflepuff,Marilynn,Maki,2001-01-06,Left,70868,349.7348065,2.262854935,-3.497348065,-569.1749941,1064.649952,-0.3892734498
79,Hufflepuff,Seth,Conaway,1999-09-18,Right,68359,418.6807819,2.398726745,-4.186807819,-521.3102149,1054.544018,1.101545478
80,Hufflepuff,Concepcion,Wilkinson,1999-06-19,Left,46079,474.2898485,2.823746283,-4.742898485,-404.5959454,1047.163545,0.6270437848
81,Slytherin,Antonette,Falcon,1999-08-01,Right,11030,,-6.842722846,7.840030898,-659.4140302,1065.366732,0.4608029791
82,Slytherin,Arnold,Kersey,1998-06-12,Right,37887,-515.840922,-6.540225266,5.15840922,-497.8380425,1081.18656,-1.218883793
83,Gryffindor,Rosita,Riddick,2001-09-27,Right,56134,336.0623368,-4.917391145,-3.360623368,-506.9769945,971.0193242,1.245107501
84,Hufflepuff,German,Bronson,2000-06-22,Right,58549,477.1891591,4.669850975,-4.771891591,-742.8481133,1072.875175,-1.213345799
85,Hufflepuff,Hallie,Slade,2001-04-10,Left,51592,404.6306395,3.24816286,-4.046306395,-405.9928513,1039.760518,0.02530939151
86,Hufflepuff,Rufus,Geiger,2000-06-29,Right,20807,661.1120437,5.070565395,-6.611120437,-275.1294868,1021.854701,0.05858766017
87,Hufflepuff,Shanna,Reuter,2000-02-06,Left,32491,793.0759523,5.613896018,-7.930759523,-533.3751884,1041.245616,0.2456461937
88,Hufflepuff,Marion,Galindo,2000-02-23,Left,47052,561.65592,6.154023759,-5.6165592,-246.9314297,1028.143469,-0.8511317571
89,Gryffindor,Aisha,Steffen,2000-02-08,Right,67687,239.6957642,-3.46401913,-2.396957642,-602.3663235,962.8172289,-1.47460647
90,Gryffindor,Tabatha,Bartlett,2000-02-13,Right,47749,473.9594645,-5.203283992,-4.739594645,-598.1996766,931.5404072,
91,Gryffindor,Oma,Prosser,1998-07-26,Left,60337,308.5446179,-3.60965405,-3.085446179,-231.0574593,984.2554419,-0.9146227392
92,Ravenclaw,Florine,Crabtree,1999-04-04,Left,38317,-345.8912855,6.961553604,3.458912855,465.4210111,1047.766242,-0.8711453603
93,Hufflepuff,Glenna,Rodman,2000-02-07,Right,86521,236.8861914,3.889555607,-2.368861914,-334.6255679,1048.56816,0.1581286094
94,Hufflepuff,Sarah,Mccurdy,2000-05-24,Right,40041,423.7297073,7.29709911,-4.237297073,-413.6913708,1037.226007,1.396019926
95,Hufflepuff,Vesta,Rodman,2000-02-19,Left,32995,737.2957436,4.380005411,-7.372957436,-353.1070079,1051.594118,0.2048944997
96,Gryffindor,Gabriella,Snook,1999-04-05,Left,40377,529.1895411,-3.785622159,-5.291895411,-645.3830057,960.6549758,-0.4960530158
97,Ravenclaw,Billie,Irvine,1998-03-23,Left,48416,-454.6973968,4.152189368,4.546973968,587.6877059,1064.406337,-0.7585919777
98,Slytherin,Allison,Ketchum,1998-07-20,Right,35796,-662.4667944,-4.442912493,6.624667944,-624.843511,1057.439037,-0.9391020569
99,Hufflepuff,Dovie,Darden,1997-10-09,Right,72219,385.2596953,5.811254,-3.852596953,-507.4167192,1056.192428,0.337150429
100,Gryffindor,Dianne,Gulley,1997-08-06,Left,32401,663.311458,-3.737958628,-6.63311458,-355.9133441,976.9447295,0.8078199234
101,Hufflepuff,Robbie,Waller,2000-06-10,Left,35880,571.7538745,6.962778839,-5.717538745,-527.392044,1045.380652,-1.093969536
102,Ravenclaw,Mariah,Allison,1999-09-08,Left,75206,-635.5742012,5.435313135,6.355742012,538.2390293,1041.825085,0.1638341234
103,Hufflepuff,Eunice,Kimball,1997-09-14,Right,56467,529.3030052,4.204821104,-5.293030052,-511.8962775,1054.676835,-0.9805984775
104,Ravenclaw,Jermaine,Hilton,2000-06-17,Right,57493,-316.9581963,7.056762549,3.169581963,439.4116847,1051.755078,0.8064682478
105,Gryffindor,Darius,Pond,1999-06-09,Right,47435,514.2680471,-6.938641459,-5.142680471,-299.5844496,956.0789221,-0.5508715518
106,Slytherin,Wilma,Marroquin,1998-12-29,Right,58994,-529.8336463,-7.551878452,5.298336463,-420.0061456,1046.206131,1.769464699
107,Gryffindor,Sylvester,Smallwood,1997-03-14,Right,66124,153.9488924,-6.954602943,-1.539488924,-236.0976825,,-0.8137008723
108,Hufflepuff,Archie,Richardson,1999-11-07,Left,66029,418.7979987,5.241966825,-4.187979987,-671.4414287,1060.120296,0.4430065846
109,Slytherin,Caryn,Irvine,1999-07-11,Left,65151,-340.4771288,-9.57392446,3.404771288,-240.3844854,1053.34277,0.1851757806
110,Slytherin,Octavia,Hamby,1997-08-04,Right,53672,-568.4347528,-4.239520729,5.684347528,-558.7776213,1087.12208,
111,Ravenclaw,Elmo,Samuel,1997-10-09,Right,80698,-585.0191292,3.189834485,5.850191292,1092.388611,1068.60858,1.266685983
112,Ravenclaw,Theresa,Bird,1998-10-13,Right,69117,-642.0676827,6.704010365,6.420676827,586.2531378,1015.254,
113,Ravenclaw,Lynda,Peace,2000-09-16,Left,63085,-535.9631008,5.204957839,5.359631008,586.1422518,1032.6371,-0.5924173093
114,Ravenclaw,Curt,Sorrell,1998-08-21,Right,99356,-643.1680713,3.86453749,6.431680713,832.7382626,,1.34144307
115,Gryffindor,Sharyn,Oconnell,1998-12-20,Right,32757,559.5125234,-4.459940037,-5.595125234,-593.1249868,962.293217,0.2411916856
116,Ravenclaw,Roman,Stamps,1998-06-25,Right,43903,-615.7762884,5.282133071,6.157762884,552.5711493,1029.530054,0.8936793325
117,Slytherin,Sheri,Tuttle,1997-05-11,Right,64893,-519.5256358,-6.361745193,5.195256358,-628.7998129,,-1.994852871
118,Hufflepuff,Sharonda,Hansen,2001-04-25,Left,30360,714.1149421,3.802036379,-7.141149421,-484.5331077,1044.573925,1.04186702
119,Hufflepuff,Rudy,Sigler,1996-12-13,Left,53747,402.3001418,3.53012346,-4.023001418,-623.5214067,1064.693323,0.3196918149
120,Ravenclaw,Ruthie,Hennessey,1999-10-02,Left,55822,-605.1690925,3.649099472,6.051690925,606.1203515,1041.533088,0.9700286919
121,Slytherin,Antone,Medina,1997-12-21,Left,38267,-483.1771126,,4.831771126,-589.6541349,1067.77281,-0.3587794921
122,Ravenclaw,Jean,Herron,1998-05-10,Right,25521,-436.2488464,6.474863131,4.362488464,522.1715997,1046.163957,0.05990460638
123,Hufflepuff,Eileen,Santoro,1998-11-14,Right,91006,49.84224411,4.071053238,-0.4984224411,-767.5123198,1078.897241,-2.321061298
124,Hufflepuff,Jonathan,Kingsbury,2000-06-06,Right,40304,575.2121844,4.27406528,-5.752121844,0.6005743975,1018.220501,-0.1253705817
125,Slytherin,Brooks,Bettencourt,1999-09-26,Left,49342,-526.0859807,-4.036462449,5.260859807,-627.6900074,1062.047555,1.614915394
126,Hufflepuff,Amanda,Anaya,1999-08-18,Right,44716,362.5032319,5.234574629,-3.625032319,-344.9898066,1027.483677,-0.6937017894
127,Slytherin,Russ,Blais,1997-09-04,Right,44770,-531.9043968,-5.154941165,5.319043968,-401.9862002,1056.423741,
128,Slytherin,Wilbur,Burnside,1999-05-24,Right,45982,-488.978508,-4.963730079,4.88978508,-617.4040268,1059.217553,-0.5632199019
129,Hufflepuff,Valarie,Valentin,1997-09-27,Left,42551,657.1000951,8.127386769,-6.571000951,-294.8378633,1036.43151,0.3556839545
130,Slytherin,Oma,Whitlow,2000-04-29,Left,46919,-404.3721865,-5.078322642,4.043721865,-322.9054894,1039.130709,0.0852451377
131,Gryffindor,Nelson,Doolittle,1998-11-25,Left,32154,429.2554521,-7.790582016,-4.292554521,-362.4630769,932.4673232,-0.4197077745
132,Slytherin,Angeline,Trice,2000-04-02,Right,57769,-608.914995,-9.953412078,6.08914995,-460.6246626,1048.695232,-0.9737175265
133,Hufflepuff,Luanne,Frasier,2000-10-31,Right,68382,357.7354161,4.908872294,-3.577354161,-416.4718734,1057.687383,0.2455262751
134,Ravenclaw,Felton,Staley,1996-12-02,Left,22034,-381.5660535,5.745185871,,218.1530324,1050.9341,1.78838651
135,Ravenclaw,Lloyd,Blair,1997-05-13,Right,,-410.0433801,5.424500213,4.100433801,646.3970506,1049.400575,-1.272503417
136,Ravenclaw,Reginald,Jordan,1999-06-10,Left,72259,-650.2578796,4.870031122,6.502578796,518.0200602,1030.106353,-1.302511683
137,Ravenclaw,Loraine,Cornell,1999-03-03,Right,65257,-567.9367699,,5.679367699,622.8874332,1050.196609,-0.003950326226
138,Hufflepuff,Ahmed,Nixon,1997-07-29,Left,48503,376.0672246,5.440261804,-3.760672246,-641.0781877,1057.735495,-0.3904360994
139,Gryffindor,Rashad,Massie,1997-06-29,Left,62442,741.3409427,-1.354283292,-7.413409427,-560.0061307,946.5523564,0.5535948439
140,Gryffindor,Dave,Naquin,1997-11-27,Right,56763,444.8624899,-5.331665078,-4.448624899,,937.6315072,0.4173716471
141,Ravenclaw,Ron,Hein,2000-12-12,Right,46540,-596.6361938,5.423167062,5.966361938,455.2385438,1038.938257,-1.54835427
142,Gryffindor,Dick,Enos,2001-03-18,Left,47266,469.4059601,-5.529584365,-4.694059601,-520.9485966,957.758515,1.588396037
143,Hufflepuff,Lawerence,Sorensen,1999-09-25,Left,65283,389.2024319,5.804108097,-3.892024319,-449.0436917,1043.572829,-0.3894867037
144,Gryffindor,Billy,Le,1997-01-30,Left,22398,599.5852112,-5.705504056,-5.995852112,-569.9967721,952.4012186,0.4112315306
145,Gryffindor,Nilda,Brogan,1997-04-16,Right,64395,597.0366261,-3.448200666,-5.970366261,-95.69736493,958.2566181,-1.791074055
146,Slytherin,Esteban,Milne,2001-07-12,Left,42359,-562.6819044,-6.000505974,5.626819044,-529.9790419,1056.650319,-0.4461055089
147,Gryffindor,Wilford,Stewart,2001-05-02,Right,35843,489.8942532,-3.653055456,-4.898942532,-349.7733274,972.2727748,1.05805124
148,Gryffindor,Scarlett,Reyes,2001-11-01,Right,41153,299.1598879,-6.188562987,-2.991598879,-460.6612895,934.3390401,-1.128720524
149,Gryffindor,Van,Bearden,1997-12-15,Left,51005,703.298589,-3.691706483,-7.03298589,-718.6084672,933.6425612,0.6104043637
150,Ravenclaw,Bryon,Small,1997-03-21,Left,38144,-463.7481243,4.067800534,4.637481243,481.9497198,1051.292693,0.1893484953
151,Gryffindor,Dan,Whitt,2001-10-28,Left,43174,666.1027101,-3.798762781,-6.661027101,-512.1227025,965.2147709,-1.028113302
152,Gryffindor,Jeff,Ernst,1998-02-23,Left,32262,791.1833391,-2.600643772,-7.911833391,-542.272929,937.8606073,0.451197396
153,Slytherin,Sammie,Zimmerman,2001-09-30,Right,43554,-504.6721596,-5.390524173,5.046721596,-477.0412098,1038.294797,0.4496306846
154,Slytherin,Renaldo,Cushing,1997-05-13,Left,37115,-611.8966142,-5.61252822,6.118966142,-713.0879485,1090.201068,0.2047321886
155,Hufflepuff,Saundra,Low,1999-09-12,Right,63995,441.1569824,6.160816086,-4.411569824,-463.2380863,1058.3281,-0.522939067
156,Gryffindor,Alberto,Michaels,1999-09-30,Left,39731,660.8558859,-2.811463113,-6.608558859,-601.0012535,974.1762253,-0.9599175291
157,Hufflepuff,Lauren,Provost,1997-01-21,Right,44378,478.9382991,3.270598498,-4.789382991,-399.892689,1043.407332,-0.7276334067
158,Ravenclaw,Kristal,Woodley,2000-02-25,Left,55003,-379.6584984,7.919267824,3.796584984,753.4431927,1064.406752,
159,Ravenclaw,Mickey,Bratcher,2001-04-25,Right,,-538.3323832,3.808333159,5.383323832,928.7153976,1055.506755,-0.1125446695
160,Hufflepuff,Carmel,Olivares,1997-10-25,Left,57084,476.6835505,3.02052766,-4.766835505,-649.9279144,1062.297684,-1.002451612
161,Hufflepuff,Fletcher,Wingfield,1997-01-28,Right,71129,281.6377538,5.647298066,-2.816377538,-547.6220495,1061.171423,-0.4118524723
162,Hufflepuff,Omer,Carrera,2001-10-13,Left,52049,374.5028644,5.626831897,-3.745028644,-680.5592045,1058.922272,-0.1385371563
163,Slytherin,Lucio,Negron,1999-01-08,Left,67129,-500.831681,-5.628744267,5.00831681,-145.4666881,1008.674411,0.3528310821
164,Ravenclaw,Patrick,Cox,1999-10-04,Left,59354,-306.2672492,8.272247367,3.062672492,225.0878163,1026.14991,0.3371460717
165,Hufflepuff,Chong,Woodard,2000-03-20,Right,34543,650.9465308,5.166446839,-6.509465308,-324.3236026,1038.385229,1.102913512
166,Hufflepuff,Nan,Hurley,1999-04-20,Left,57873,338.8229309,7.329863878,-3.388229309,-616.8391788,1052.164438,0.803690422
167,Hufflepuff,Jonah,Rosa,1997-04-07,Right,54696,445.8123504,1.604080645,-4.458123504,-626.537903,1070.410582,0.2994655621
168,Slytherin,Ervin,Shelley,1998-08-03,Left,,-273.0798764,-6.700468803,2.730798764,-287.892892,1020.121776,-1.618592913
169,Gryffindor,Jayson,Somerville,2001-06-23,Left,42547,426.4515446,-2.870672994,-4.264515446,-582.9211907,995.8406197,-0.6619861967
170,Ravenclaw,Laura,Everett,2000-03-12,Right,39228,-383.0866237,4.770941742,3.830866237,582.8250197,1068.539889,0.6031370545
171,Gryffindor,Roy,Delossantos,2000-08-28,Left,53431,458.3909155,-5.195214988,-4.583909155,-476.1432637,960.7178996,1.014277877
172,Gryffindor,Clinton,Hemphill,2000-01-13,Right,38984,498.8515227,-4.727777089,-4.988515227,42.24843247,986.2387815,-0.4725118722
173,Ravenclaw,Eldon,Hutson,2000-11-22,Right,41173,-544.0067552,6.35474842,5.440067552,445.9932873,1065.873998,-1.738913379
174,Hufflepuff,Carmen,Champion,2000-11-07,Left,68697,539.8176222,4.120802912,-5.398176222,-641.877154,1067.3307,-0.5479424983
175,Gryffindor,Maggie,Damron,1998-06-02,Right,62042,476.2530837,-4.368506425,-4.762530837,-585.9517245,955.5728592,-1.144834465
176,Ravenclaw,Dovie,Saul,2000-08-27,Right,,-647.4568162,4.412894876,6.474568162,368.3789108,1047.197227,-1.638997917
177,Hufflepuff,Raymundo,Cooksey,1999-04-16,Right,60975,417.8741274,6.231948653,-4.178741274,-561.6842238,1054.732651,0.2237700793
178,Ravenclaw,Marty,Herrin,2000-06-20,Right,57532,-539.4599818,3.24118857,5.394599818,254.9948573,1028.210304,0.2168218646
179,Ravenclaw,Rose,Torres,1997-12-16,Right,55371,-547.5567677,7.140489003,5.475567677,409.3729203,1042.621431,-0.8365459312
180,Slytherin,Teddy,Dodds,1999-12-19,Right,98109,-271.7128297,-3.955124098,2.717128297,-392.0618071,,0.7684132929
181,Hufflepuff,Augusta,Blanchard,2001-09-13,Right,39874,658.6907506,6.617484766,-6.586907506,-496.6530395,1049.265254,-0.1338135442
182,Ravenclaw,Aretha,Trice,1996-11-08,Left,79428,-281.428679,4.945813454,2.81428679,517.6792449,1036.250232,-0.7669961803
183,Slytherin,Eloy,Connell,2001-04-18,Right,74845,-416.6368113,-4.561808679,,-230.2188006,1016.042493,-0.3391250693
184,Ravenclaw,Lorenzo,Bundy,1999-11-23,Left,87138,-365.4716611,-6.671808977,3.654716611,-501.8877333,1033.374716,1.383578378
185,Hufflepuff,Valentina,Gibson,1997-04-26,Left,53960,505.6813271,6.049238886,-5.056813271,-457.6064076,1047.432938,0.4470020411
186,Hufflepuff,Ali,Battles,1999-06-25,Left,44095,626.1834383,5.415559805,-6.261834383,-333.0634198,1034.636001,0.8764597226
187,Slytherin,Stacey,Wu,1997-10-08,Left,31210,-525.9697368,-3.589811753,5.259697368,-626.5853562,1062.529645,0.2384106189
188,Hufflepuff,Daron,Kitchens,1999-02-28,Left,49529,426.2490587,5.688908159,,-499.5316869,1047.419513,0.507440486
189,Gryffindor,Marcia,Doe,2000-07-24,Left,47670,523.2887525,-5.171198401,-5.232887525,-432.9245846,966.1012239,-0.2596034179
190,Slytherin,Johnathon,Odom,1997-08-20,Left,58492,-272.0351735,-7.493774611,2.720351735,-351.5525398,1034.348326,-0.123957832
191,Hufflepuff,Geoffrey,Joyce,1998-04-09,Left,62429,495.5887742,4.163193475,-4.955887742,-616.2838917,1063.059321,-1.97913489
192,Ravenclaw,Charlotte,Evans,2000-11-29,Left,55527,-532.6318688,4.27474949,5.326318688,,1063.194195,0.6620911065
193,Hufflepuff,Winnie,Wentworth,2001-04-04,Left,23669,558.3641462,5.073431532,-5.583641462,-616.1168194,1053.267695,0.6866273083
194,Slytherin,Vickie,Candelaria,1997-10-02,Right,26557,-743.695796,-5.22616546,7.43695796,-698.4912869,1072.230802,1.490751546
195,Hufflepuff,Fern,Cummings,1999-06-06,Right,34642,675.175231,,-6.75175231,-402.1696082,1037.566953,
